2018_02_26_07_16_24_02	2018_02_26_07_18_31_00	쪼그려 앉아 있다	걸레로 엎드려서 바닥 닦기

2018_02_26_07_41_45_04	2018_02_26_07_48_53_04	무엇을 잡고 허리를 구부린 자세로 서 있다	신문 보기

2018_02_26_07_48_56_01	2018_02_26_07_48_58_08	서 있다 앉기	신문 보기

2018_02_26_07_48_59_04	2018_02_26_07_59_13_02	의자에 앉아 있다	신문 보기

2018_02_26_08_03_30_05	2018_02_26_08_04_08_04	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_08_14_23_01	2018_02_26_08_14_57_02	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_08_53_58_05	2018_02_26_08_54_19_05	서 있기 (걷기 포함)	약을 뜯어서 삼키기

2018_02_26_08_54_28_02	2018_02_26_08_54_33_07	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_08_54_37_04	2018_02_26_08_56_33_06	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_08_57_17_05	2018_02_26_09_04_29_07	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_09_05_30_06	2018_02_26_09_05_35_05	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_09_05_40_01	2018_02_26_09_13_41_05	서 있기 (걷기 포함)	수저/포크로 음식 집어먹기

2018_02_26_09_13_48_04	2018_02_26_09_13_52_05	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_09_13_56_04	2018_02_26_09_17_08_07	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_09_17_13_01	2018_02_26_09_17_27_07	서 있기 (걷기 포함)	물/음료 마시기

2018_02_26_09_18_39_04	2018_02_26_09_21_45_03	서 있기 (걷기 포함)	그릇 설거지 하기

2018_02_26_11_03_44_03	2018_02_26_11_03_49_06	서 있기 (걷기 포함)	물/음료를 컵에 따르기

2018_02_26_11_03_50_02	2018_02_26_11_03_55_02	서 있기 (걷기 포함)	물/음료 마시기

2018_02_26_11_16_44_03	2018_02_26_11_27_15_07	서 있기 (걷기 포함)	담소 나누기

2018_02_26_11_29_14_05	2018_02_26_11_31_50_07	의자에 앉아 있다	담소 나누기

2018_02_26_11_34_05_04	2018_02_26_11_38_03_05	의자에 앉아 있다	담소 나누기

2018_02_26_11_38_07_01	2018_02_26_11_38_10_07	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_11_38_18_04	2018_02_26_11_41_23_03	의자에 앉아 있다	과일깎기

2018_02_26_11_41_27_05	2018_02_26_11_46_28_05	의자에 앉아 있다	담소 나누기

2018_02_26_11_48_13_06	2018_02_26_11_50_09_07	의자에 앉아 있다	담소 나누기

2018_02_26_11_51_54_06	2018_02_26_11_53_17_04	의자에 앉아 있다	담배피기

2018_02_26_11_53_57_06	2018_02_26_12_29_23_04	의자에 앉아 있다	담소 나누기

2018_02_26_12_29_32_05	2018_02_26_12_29_46_04	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_12_29_52_02	2018_02_26_12_30_36_06	의자에 앉아 있다	담배피기

2018_02_26_12_34_04_01	2018_02_26_12_34_20_02	서 있기 (걷기 포함)	물/음료를 컵에 따르기

2018_02_26_12_36_48_02	2018_02_26_12_40_08_05	의자에 앉아 있다	물/음료 마시기

2018_02_26_12_40_52_06	2018_02_26_13_09_52_05	의자에 앉아 있다	담소 나누기

2018_02_26_13_11_30_05	2018_02_26_13_22_55_00	의자에 앉아 있다	담소 나누기

2018_02_26_13_31_20_06	2018_02_26_13_35_32_06	서 있기 (걷기 포함)	그릇 설거지 하기

2018_02_26_13_36_08_07	2018_02_26_13_36_23_06	서 있기 (걷기 포함)	식탁 걸레질 하기

2018_02_26_13_44_15_00	2018_02_26_13_44_44_02	서 있기 (걷기 포함)	약을 뜯어서 삼키기

2018_02_26_14_34_41_01	2018_02_26_14_36_37_04	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_14_39_07_02	2018_02_26_14_41_50_00	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_14_41_55_02	2018_02_26_14_42_05_00	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_14_42_08_05	2018_02_26_14_43_56_03	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_14_48_46_01	2018_02_26_14_49_26_01	서 있기 (걷기 포함)	가스레인지 음식 데우기

2018_02_26_14_49_28_00	2018_02_26_14_49_36_00	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_17_24_54_02	2018_02_26_17_24_58_02	서 있기 (걷기 포함)	상의 벗기

2018_02_26_17_25_29_04	2018_02_26_17_27_24_00	의자에 앉아 있다	담소 나누기

2018_02_26_17_32_00_00	2018_02_26_17_34_31_03	의자에 앉아 있다	글쓰기

2018_02_26_17_34_38_04	2018_02_26_17_37_21_06	의자에 앉아 있다	담소 나누기

2018_02_26_17_37_33_02	2018_02_26_17_40_02_06	의자에 앉아 있다	담소 나누기

2018_02_26_17_52_43_02	2018_02_26_17_59_03_02	의자에 앉아 있다	신문 보기

2018_02_26_19_04_24_01	2018_02_26_19_04_30_00	서 있기 (걷기 포함)	냉장고 음식 넣고 꺼내기

2018_02_26_19_04_50_01	2018_02_26_19_05_31_00	서 있기 (걷기 포함)	약을 뜯어서 삼키기

