2017_11_21_10_49_56	2017_11_21_10_50_12	 Keti 	 서 있다 앉기	

2017_11_21_10_50_20	2017_11_21_10_50_25	 Keti 	 앉았다 서기	

2017_11_21_10_50_28	2017_11_21_10_50_31	 Keti 	 서 있다 앉기	

2017_11_21_10_52_10	2017_11_21_11_18_45	 Keti 	 바닥에 앉아 있기	책 읽기

2017_11_21_11_18_54	2017_11_21_11_26_35	 Keti 	 바닥에 앉아 있기	이불펴고/개기

2017_11_21_11_27_23	2017_11_21_11_27_28	 Keti 	 앉았다 서기	이불펴고/개기

2017_11_21_11_32_52	2017_11_21_12_04_17	 Keti 	 앉았다 서기	손부업

2017_11_21_12_04_25	2017_11_21_12_04_37	 Keti 	 앉았다 서기	손부업

2017_11_21_12_04_43	2017_11_21_12_06_21	 Keti 	 서 있기 (걷기 포함)	손부업

2017_11_21_12_07_07	2017_11_21_12_32_06	 Keti 	 서 있기 (걷기 포함)	손부업

2017_11_21_14_03_06	2017_11_21_14_03_30	 Keti 	 서 있기 (걷기 포함)	물/음료 마시기

2017_11_21_14_05_36	2017_11_21_14_50_23	 Keti 	 서 있기 (걷기 포함)	물/음료 마시기

2017_11_21_15_59_17	2017_11_21_16_01_30	 Keti 	 서 있기 (걷기 포함)	리모콘으로 TV 컨트롤하기

2017_11_21_16_01_56	2017_11_21_16_18_47	 Keti 	 서 있기 (걷기 포함)	책 읽기

2017_11_21_16_19_06	2017_11_21_16_19_11	 Keti 	 앉았다 눕기	책 읽기

2017_11_21_16_22_06	2017_11_21_16_29_54	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_21_16_30_05	2017_11_21_16_31_16	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_21_16_31_50	2017_11_21_16_34_32	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_21_16_34_58	2017_11_21_16_35_12	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_21_16_35_20	2017_11_21_16_43_22	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_21_16_43_32	2017_11_21_16_44_27	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_21_16_46_09	2017_11_21_16_51_42	 Keti 	 옆으로 누워 있기	책 읽기

2017_11_21_16_53_37	2017_11_21_17_12_10	 Keti 	 반듯이 누워 있기	책 읽기

2017_11_21_17_14_01	2017_11_21_17_26_52	 Keti 	 옆으로 누워 있기	리모콘으로 TV 컨트롤하기

2017_11_21_17_26_58	2017_11_21_17_27_05	 Keti 	 누웠다 앉기	리모콘으로 TV 컨트롤하기

2017_11_21_18_03_23	2017_11_21_18_13_34	 Keti 	 누웠다 앉기	리모콘으로 TV 컨트롤하기

2017_11_21_18_19_35	2017_11_21_18_40_30	 Keti 	 누웠다 앉기	리모콘으로 TV 컨트롤하기

2017_11_21_18_44_42	2017_11_21_18_44_47	 Keti 	 앉았다 눕기	리모콘으로 TV 컨트롤하기
