t1,use_fridge,stand,fridge
t2,cook,stand,stove
t3,pick_spoon,sit_chair,table
t4,pick_spoon,sit_chair,table
t5,pick_spoon,sit_chair,table
t6,drink_liquid,sit_chair,table
t7,cut_fruit,sit_chair,table
t8,use_remote,sit_floor,sofa
t9,use_remote,sit_floor,sofa
t10,use_remote,sit_sofa,sofa
t11,use_remote,sit_sofa,sofa
t12,use_remote,sit_sofa,sofa
t13,use_remote,lie_side,tv
t14,use_remote,lie_side,tv
t15,use_remote,sit_sofa,tv
t16,use_phone,sit_sofa,sofa
t17,chat,sit_sofa,sofa
t18,chat,stand,table
t19,chat,sit_sofa,sofa
t20,chat,sit_sofa,sofa
