2018_02_14_07_58_25_05	2018_02_14_07_58_32_00	누웠다 앉기	누워있다 일어나기(기상)
			
2018_02_14_08_00_35_03	2018_02_14_08_03_07_05	바닥에 앉아 있다	머리 빗기
2018_02_14_08_05_48_05	2018_02_14_08_05_52_05	앉았다 서기	행동없음(추가)

2018_02_14_08_16_32_00	2018_02_14_08_16_35_06	서 있다 앉기	행동없음(추가)

2018_02_14_08_16_37_01	2018_02_14_08_16_50_01	바닥에 앉아 있다	화장품 바르기

2018_02_14_08_17_42_05	2018_02_14_08_18_18_06	바닥에 앉아 있다	머리 빗기

2018_02_14_08_18_20_00	2018_02_14_08_29_19_07	바닥에 앉아 있다	행동없음(추가)

2018_02_14_08_29_26_02	2018_02_14_08_29_29_00	앉았다 서기	행동없음(추가)

